Year,League,Rank,Team,All-Games,Win,Lose,Draw,Win-Prob,Batting-Average,Bats,Points,Hits,Double,Triple,HR,RBI,Steal,Protection-Ratio,Whole-Pitch,Strike-Outs,Lost-Points
1966,central,5,大洋ホエールズ,130,52,78,0,.400,.247,4347,428,1072,177,17,116,410,59,3.74,25,583,557
1966,central,4,広島カープ,136,57,73,6,.438,.234,4465,420,1044,136,20,78,395,44,3.45,35,636,512
1966,central,1,読売ジャイアンツ,134,89,41,4,.685,.243,4352,559,1058,152,27,114,529,148,2.24,54,638,335
1966,central,3,阪神タイガース,135,64,66,5,.492,.233,4401,386,1024,157,20,81,365,48,2.52,54,672,399
1967,central,5,サンケイアトムズ,135,58,72,5,.446,.240,4500,503,1082,177,28,120,474,46,3.68,29,630,548
1967,central,2,中日ドラゴンズ,134,72,58,4,.554,.248,4495,541,1115,197,24,148,516,67,3.31,34,666,521
1967,central,4,大洋ホエールズ,135,59,71,5,.454,.2449,4429,477,1085,194,11,130,445,51,3.28,23,725,511
1967,central,6,広島カープ,138,47,83,8,.362,.225,4596,422,1035,148,17,82,399,66,3.41,28,682,536
1967,central,1,読売ジャイアンツ,134,84,46,4,.646,.265,4434,595,1175,165,23,162,555,125,2.87,51,726,430
1967,central,3,阪神タイガース,136,70,60,6,.538,.2446,4476,429,1095,158,29,101,406,41,2.60,46,862,421
1968,central,4,サンケイアトムズ,134,64,66,4,.492,.239,4479,497,1069,153,24,130,477,67,3.28,28,701,497
1968,central,6,中日ドラゴンズ,134,50,80,4,.385,.246,4610,499,1134,187,16,142,474,57,3.72,32,805,579
1968,central,5,大洋ホエールズ,133,59,71,3,.454,.236,4418,483,1044,166,23,131,455,63,3.71,22,756,558
1968,central,3,広島東洋カープ,134,68,62,4,.523,.224,4318,420,966,151,11,112,402,104,2.91,47,841,449
1968,central,1,読売ジャイアンツ,134,77,53,4,.592,.262,4529,652,1186,189,36,177,628,133,3.35,39,728,496
1968,central,2,阪神タイガース,133,72,58,3,.554,.229,4419,447,1014,174,22,119,432,34,2.67,64,987,419
1969,central,5,アトムズ,130,58,69,3,.457,.244,4304,495,1050,175,9,139,475,45,3.71,22,694,569
1969,central,4,中日ドラゴンズ,130,59,65,6,.476,.231,4356,463,1008,163,23,145,438,56,3.11,27,741,470
1969,central,3,大洋ホエールズ,130,61,61,8,.500,.239,4331,444,1034,175,15,125,424,39,3.19,28,827,470
1969,central,6,広島東洋カープ,130,56,70,4,.444,.221,4235,414,938,117,6,121,383,101,3.24,33,734,483
1969,central,1,読売ジャイアンツ,130,73,51,6,.589,.263,4425,599,1163,181,15,147,570,89,3.30,48,805,472
1969,central,2,阪神タイガース,130,68,59,3,.535,.222,4283,402,952,141,14,114,385,34,2.41,47,847,353
1970,central,6,ヤクルトアトムズ,130,33,92,5,.264,.215,4214,336,907,130,23,69,319,62,3.78,16,614,552
1970,central,5,中日ドラゴンズ,130,55,70,5,.440,.234,4246,435,994,141,22,118,407,55,3.20,34,642,462
1970,central,3,大洋ホエールズ,130,69,57,4,.548,.241,4195,436,1011,155,17,106,408,54,2.75,36,736,399
1970,central,4,広島東洋カープ,130,62,60,8,.508,.226,4175,393,945,117,14,108,377,109,3.00,40,702,421
1970,central,1,読売ジャイアンツ,130,79,47,4,.627,.240,4261,499,1023,164,17,131,474,77,2.46,52,839,365
1970,central,2,阪神タイガース,130,77,49,4,.611,.245,4300,435,1053,173,20,110,411,54,2.36,54,878,335
1971,central,6,ヤクルトアトムズ,130,52,72,6,.419,.234,4241,427,993,168,22,94,403,81,3.03,37,618,451
1971,central,2,中日ドラゴンズ,130,65,60,5,.520,.226,4218,437,954,146,16,127,420,104,2.97,25,590,425
1971,central,3,大洋ホエールズ,130,61,59,10,.5083,.216,4166,363,898,121,13,82,338,78,2.31,22,682,354
1971,central,4,広島東洋カープ,130,63,61,6,.5080,.233,4189,422,976,139,10,89,400,104,3.11,27,645,444
1971,central,1,読売ジャイアンツ,130,70,52,8,.574,.253,4261,538,1077,178,25,123,511,149,2.94,43,755,434
1971,central,5,阪神タイガース,130,57,64,9,.471,.220,4170,333,919,108,10,101,320,68,2.76,40,726,412
1972,central,4,ヤクルトアトムズ,130,60,67,3,.472,.2536,4313,530,1094,196,27,115,499,102,3.73,34,618,543
1972,central,3,中日ドラゴンズ,130,67,59,4,.532,.232,4256,452,988,140,20,123,429,55,3.29,30,591,491
1972,central,5,大洋ホエールズ,130,57,69,4,.452,.242,4274,481,1036,150,15,135,466,44,3.66,27,632,523
1972,central,6,広島東洋カープ,130,49,75,6,.395,.250,4372,482,1092,171,9,117,469,73,3.57,40,700,522
1972,central,1,読売ジャイアンツ,130,74,52,4,.587,.2544,4311,587,1097,138,17,158,562,102,3.43,52,741,492
1972,central,2,阪神タイガース,130,71,56,3,.559,.239,4317,470,1032,168,18,125,449,45,3.00,35,692,431
1973,central,4,ヤクルトアトムズ,130,62,65,3,.488,.228,4189,377,957,148,16,78,359,60,2.60,33,720,406
1973,central,3,中日ドラゴンズ,130,64,61,5,.512,.242,4248,441,1027,152,10,108,419,82,2.98,45,546,433
1973,central,5,大洋ホエールズ,130,60,64,6,.484,.243,4318,423,1049,140,9,125,399,45,3.30,36,599,480
1973,central,6,広島東洋カープ,130,60,67,3,.472,.223,4198,390,938,135,18,104,365,59,3.04,31,700,436
1973,central,1,読売ジャイアンツ,130,66,60,4,.524,.253,4318,565,1094,150,17,149,540,77,3.25,53,768,470
1973,central,2,阪神タイガース,130,64,59,7,.520,.234,4263,433,998,135,11,115,417,41,2.82,46,679,404
1974,central,3,ヤクルトスワローズ,130,60,63,7,.488,.233,4225,453,986,167,17,111,426,94,3.14,42,646,458
1974,central,1,中日ドラゴンズ,130,70,49,11,.588,.264,4310,561,1137,186,13,150,538,61,3.75,31,633,537
1974,central,5,大洋ホエールズ,130,55,69,6,.444,.265,4354,528,1155,149,18,143,501,76,4.28,28,641,596
1974,central,6,広島東洋カープ,130,54,72,4,.429,.242,4235,448,1025,146,12,127,429,49,3.61,40,746,487
1974,central,2,読売ジャイアンツ,130,71,50,9,.587,.253,4222,589,1070,157,22,159,570,64,3.05,41,624,460
1974,central,4,阪神タイガース,130,57,64,9,.471,.237,4180,457,992,156,21,136,444,41,3.45,45,662,498
1975,central,4,ヤクルトスワローズ,130,57,64,9,.471,.245,4317,437,1057,152,16,101,407,69,3.31,24,645,470
1975,central,2,中日ドラゴンズ,130,69,53,8,.566,.271,4324,521,1173,176,17,133,511,76,3.18,24,636,466
1975,central,5,大洋ホエールズ,130,51,69,10,.425,.249,4350,484,1084,146,19,137,467,78,3.93,20,672,548
1975,central,1,広島東洋カープ,130,72,47,11,.605,.256,4281,510,1096,159,15,131,489,124,2.96,39,670,421
1975,central,6,読売ジャイアンツ,130,47,76,7,.382,.236,4191,473,987,126,18,117,453,63,3.53,29,606,510
1975,central,3,阪神タイガース,130,68,55,7,.553,.252,4273,477,1076,151,31,128,465,31,3.34,29,602,487
1976,central,5,ヤクルトスワローズ,130,52,68,10,.433,.260,4256,504,1106,163,18,128,478,41,3.88,39,607,555
1976,central,4,中日ドラゴンズ,130,54,66,10,.450,.266,4382,519,1164,198,17,138,492,50,4.50,13,552,610
1976,central,6,大洋ホエールズ,130,45,78,7,.366,.256,4326,482,1108,186,13,172,467,51,4.45,33,671,619
1976,central,3,広島東洋カープ,130,61,58,11,.513,.270,4322,586,1169,191,24,169,572,86,4.02,35,756,565
1976,central,1,読売ジャイアンツ,130,76,45,9,.628,.280,4402,661,1232,193,27,167,632,79,3.58,37,741,505
1976,central,2,阪神タイガース,130,72,45,13,.615,.258,4251,602,1095,174,22,193,575,77,3.54,24,628,500
1977,central,2,ヤクルトスワローズ,130,62,58,10,.517,.26674,4315,593,1151,184,22,170,575,71,4.01,28,666,553
1977,central,3,中日ドラゴンズ,130,64,61,5,.512,.275,4376,575,1203,165,18,176,558,69,4.381,23,642,614
1977,central,6,大洋ホエールズ,130,51,68,11,.429,.2680,4388,643,1176,189,15,176,625,71,4.94,19,722,687
1977,central,5,広島東洋カープ,130,51,67,12,.432,.2678,4334,603,1161,191,18,163,577,124,4.83,31,669,672
1977,central,1,読売ジャイアンツ,130,80,46,4,.635,.280,4327,648,1212,172,28,181,628,102,3.48,29,720,504
1977,central,4,阪神タイガース,130,55,63,12,.466,.26675,4311,558,1150,162,19,184,541,67,4.384,34,652,590
1978,central,1,ヤクルトスワローズ,130,68,46,16,.596,.279,4338,648,1211,190,18,157,628,62,4.382,27,631,633
1978,central,5,中日ドラゴンズ,130,53,71,6,.427,.252,4271,509,1078,147,7,141,488,36,4.45,15,561,635
1978,central,3,広島東洋カープ,130,62,50,18,.554,.284,4377,713,1244,205,18,205,692,54,4.378,38,682,596
1978,central,4,横浜大洋ホエールズ,130,64,57,9,.529,.273,4368,596,1192,227,29,132,575,64,3.90,32,691,554
1978,central,2,読売ジャイアンツ,130,65,49,16,.570,.270,4307,606,1163,184,26,136,570,111,3.61,23,734,508
1978,central,6,阪神タイガース,130,41,80,9,.339,.254,4310,532,1095,154,15,139,525,54,4.79,15,653,678
1979,central,6,ヤクルトスワローズ,130,48,69,13,.410,.252,4313,550,1085,159,9,157,531,63,4.60,14,702,646
1979,central,3,中日ドラゴンズ,130,59,57,14,.509,.2678,4394,589,1177,191,15,155,570,38,3.97,16,682,566
1979,central,1,広島東洋カープ,130,67,50,13,.573,.257,4293,601,1103,154,17,172,567,143,3.74,29,791,523
1979,central,2,横浜大洋ホエールズ,130,59,54,17,.522,.266,4365,595,1162,206,18,135,569,69,4.05,31,770,562
1979,central,5,読売ジャイアンツ,130,58,62,10,.483,.259,4341,554,1123,171,16,154,532,72,3.85,27,849,549
1979,central,4,阪神タイガース,130,61,60,9,.504,.2683,4389,559,1178,157,21,172,534,70,4.15,27,773,602
1980,central,2,ヤクルトスワローズ,130,68,52,10,.567,.270,4325,562,1166,193,21,132,537,111,3.17,41,664,462
1980,central,6,中日ドラゴンズ,130,45,76,9,.372,.261,4387,495,1145,168,15,134,472,50,4.43,15,623,639
1980,central,1,広島東洋カープ,130,73,44,13,.624,.263,4319,544,1134,161,27,161,516,108,3.37,36,666,476
1980,central,4,横浜大洋ホエールズ,130,59,62,9,.488,.259,4338,534,1124,180,22,135,509,93,4.18,33,696,587
1980,central,3,読売ジャイアンツ,130,61,60,9,.504,.243,4207,507,1024,154,17,153,482,83,2.95,44,865,450
1980,central,5,阪神タイガース,130,54,66,10,.450,.262,4396,521,1152,160,16,134,492,87,3.73,40,731,549
1981,central,4,ヤクルトスワローズ,130,56,58,16,.491,.255,4279,520,1092,170,25,120,492,105,4.30,24,671,591
1981,central,5,中日ドラゴンズ,130,58,65,7,.472,.26791,4341,545,1163,170,27,151,522,62,3.71,19,664,537
1981,central,2,広島東洋カープ,130,67,54,9,.554,.274,4360,605,1194,171,12,181,582,54,3.66,43,660,519
1981,central,6,横浜大洋ホエールズ,130,42,80,8,.344,.252,4308,444,1086,183,19,105,422,70,4.41,21,628,609
1981,central,1,読売ジャイアンツ,130,73,48,9,.603,.26796,4370,517,1171,174,25,135,492,119,2.88,47,833,418
1981,central,3,阪神タイガース,130,67,58,5,.536,.272,4352,523,1184,174,17,114,503,71,3.32,38,779,480
1982,central,6,ヤクルトスワローズ,130,45,75,10,.375,.240,4291,437,1031,135,23,95,418,87,3.64,27,629,519
1982,central,1,中日ドラゴンズ,130,64,47,19,.577,.266,4310,529,1147,156,14,143,500,63,3.27,20,744,478
1982,central,4,広島東洋カープ,130,59,58,13,.504,.2544,4312,513,1097,171,13,139,499,99,3.30,43,745,493
1982,central,5,横浜大洋ホエールズ,130,53,65,12,.449,.250,4335,473,1084,174,24,125,451,39,3.92,15,654,555
1982,central,2,読売ジャイアンツ,130,66,50,14,.569,.2537,4316,511,1095,162,32,133,489,112,2.93,55,751,439
1982,central,3,阪神タイガース,130,65,57,8,.533,.262,4356,517,1143,156,24,118,494,103,3.44,11,668,496
1983,central,6,ヤクルトスワローズ,130,53,69,8,.434,.266,4378,557,1166,177,18,149,531,90,4.515,32,604,604
1983,central,5,中日ドラゴンズ,130,54,69,7,.439,.263,4369,563,1148,192,12,160,548,63,4.11,26,714,603
1983,central,2,広島東洋カープ,130,65,55,10,.542,.269,4400,610,1184,190,22,164,594,165,3.65,49,688,527
1983,central,3,横浜大洋ホエールズ,130,61,61,8,.500,.272,4354,561,1186,215,18,137,539,78,4.523,25,693,631
1983,central,1,読売ジャイアンツ,130,72,50,8,.590,.275,4438,622,1219,187,24,156,591,134,3.77,37,721,542
1983,central,4,阪神タイガース,130,62,63,5,.496,.274,4343,598,1188,186,9,169,573,86,4.22,22,593,604
1984,central,5,ヤクルトスワローズ,130,51,71,8,.418,.2640,4313,530,1139,170,18,101,498,49,4.76,20,619,653
1984,central,2,中日ドラゴンズ,130,73,49,8,.598,.282,4355,641,1229,167,19,191,615,91,3.82,36,728,551
1984,central,1,広島東洋カープ,130,75,45,10,.625,.274,4330,635,1186,196,16,167,614,140,3.37,41,742,494
1984,central,6,横浜大洋ホエールズ,130,46,77,7,.374,.263,4274,484,1122,160,19,100,459,110,4.55,32,716,638
1984,central,3,読売ジャイアンツ,130,67,54,9,.554,.268,4380,637,1173,214,22,186,618,94,3.66,39,725,517
1984,central,4,阪神タイガース,130,53,69,8,.434,.2638,4267,563,1126,171,21,165,544,71,4.46,11,603,637
1985,central,6,ヤクルトスワローズ,130,46,74,10,.383,.264,4370,550,1155,185,13,143,521,29,4.75,28,622,664
1985,central,5,中日ドラゴンズ,130,56,61,13,.479,.265,4370,537,1159,178,23,136,516,80,4.08,45,718,596
1985,central,2,広島東洋カープ,130,68,57,5,.544,.271,4321,615,1171,142,17,160,593,178,4.13,37,701,570
1985,central,4,横浜大洋ホエールズ,130,57,61,12,.483,.267,4361,589,1166,185,22,132,561,188,4.59,25,622,653
1985,central,3,読売ジャイアンツ,130,61,60,9,.504,.279,4380,616,1221,217,11,157,589,78,3.96,26,804,562
1985,central,1,阪神タイガース,130,74,49,7,.602,.285,4414,731,1258,190,16,219,708,60,4.16,15,686,593
1986,central,6,ヤクルトスワローズ,130,49,77,4,.389,.252,4332,480,1093,169,14,119,451,59,4.27,30,622,620
1986,central,5,中日ドラゴンズ,130,54,67,9,.446,.242,4317,432,1046,156,15,131,417,90,3.70,31,766,519
1986,central,1,広島東洋カープ,130,73,46,11,.613,.254,4322,511,1099,193,14,137,485,134,2.89,38,929,420
1986,central,4,横浜大洋ホエールズ,130,56,69,5,.448,.264,4283,482,1130,204,27,84,456,180,3.81,22,720,547
1986,central,2,読売ジャイアンツ,130,75,48,7,.610,.270,4368,600,1181,207,33,155,566,86,3.12,26,892,437
1986,central,3,阪神タイガース,130,60,60,10,.500,.271,4396,574,1191,190,16,184,550,49,3.69,18,762,536
1987,central,4,ヤクルトスワローズ,130,58,64,8,.475,.260,4307,553,1120,163,21,159,532,30,4.51,25,657,637
1987,central,2,中日ドラゴンズ,130,68,51,11,.571,.265,4319,571,1145,206,22,168,547,65,3.64,24,782,492
1987,central,3,広島東洋カープ,130,65,55,10,.542,.268,4336,549,1163,183,17,143,523,107,3.14,32,918,450
1987,central,5,横浜大洋ホエールズ,130,56,68,6,.452,.259,4365,516,1130,185,32,113,494,116,4.26,34,716,601
1987,central,1,読売ジャイアンツ,130,76,43,11,.639,.281,4361,608,1224,192,17,159,581,55,3.06,31,842,447
1987,central,6,阪神タイガース,130,41,83,6,.331,.242,4319,437,1045,153,17,140,422,40,4.36,15,760,607
1988,central,5,ヤクルトスワローズ,130,58,69,3,.457,.246,4341,496,1069,190,16,147,477,52,3.79,27,585,534
1988,central,1,中日ドラゴンズ,130,79,46,5,.632,.258,4250,549,1096,227,22,131,532,84,3.20,18,784,483
